date, pm25, pm10, o3, no2, so2, co
2024/9/29, 44, 25, 39, 3, 1, 1
2024/9/30, 42, 24, 36, 3, 1, 1
2024/4/1, 67, 27, 45, 6, 1, 3
2024/4/2, 53, 24, 38, 6, 1, 3
2024/4/3, 43, 30, 39, 4, 1, 2
2024/4/4, 47, 43, 46, 4, 1, 1
2024/4/5, 67, 38, 49, 6, 1, 2
2024/4/6, 71, 33, 62, 5, 1, 2
2024/4/7, 68, 41, 51, 6, 1, 2
2024/4/8, 78, 42, 47, 6, , 3
2024/4/9, 73, 37, 40, 4, 1, 2
2024/4/10, 57, 32, 40, 6, 1, 2
2024/4/11, 60, 27, 43, 5, 2, 2
2024/4/12, 59, 25, 42, 5, 2, 3
2024/4/13, 56, 24, 41, 5, 2, 2
2024/4/14, 53, 27, 42, 3, 1, 3
2024/4/15, 46, 25, 46, 4, 1, 3
2024/4/16, 54, 77, 41, 7, 1, 3
2024/4/17, 88, 99, 56, 5, 1, 2
2024/4/18, 118, 83, 67, 7, 1, 2
2024/4/19, 111, 55, 48, 4, 1, 2
2024/4/20, 78, 19, 44, 3, 1, 2
2024/4/21, 43, 22, 37, 4, 1, 2
2024/4/22, 45, 28, 35, 4, 1, 2
2024/4/23, 53, 28, 47, 5, 1, 2
2024/4/24, 51, 25, 51, 5, 1, 2
2024/4/25, 54, 24, 52, 6, 1, 2
2024/4/26, 50, 22, 51, 5, 1, 2
2024/4/27, 51, 21, 53, 5, 1, 2
2024/4/28, 48, 12, 43, 4, 1, 3
2024/4/29, 23, 18, 47, 4, 1, 3
2024/4/30, 34, 32, 39, 4, 1, 2
2024/5/1, 64, 27, 45, 5, 1, 2
2024/5/2, 57, 28, 59, 6, 2, 2
2024/5/3, 64, 28, 41, 5, 2, 2
2024/5/4, 57, 29, 38, 2, 2, 2
2024/5/5, 34, 23, 49, 4, 2, 3
2024/5/6, 47, 52, 70, 5, 1, 3
2024/5/7, 115, 20, 36, 4, 1, 2
2024/5/8, 48, 22, 48, 5, 1, 2
2024/5/9, 52, 19, 51, , 2, 2
2024/5/10, 47, 19, 41, 3, 1, 2
2024/5/11, 37, 28, 42, 3, 1, 2
2024/5/12, 34, 38, 48, 4, 1, 2
2024/5/13, 56, 29, 62, 5, 1, 2
2024/5/14, 59, 24, 57, 4, 1, 1
2024/5/15, 47, 31, 62, 3, 2, 1
2024/5/16, 46, 28, 53, 4, 1, 2
2024/5/17, 44, 20, 49, 4, 2, 2
2024/5/18, 37, 25, 50, 5, 4, 2
2024/5/19, 50, 26, 45, 5, 4, 2
2024/5/20, 60, 27, 42, , 1, 2
2024/5/21, 62, 26, 38, 4, 1, 2
2024/5/22, 53, 29, 46, 5, 1, 2
2024/5/23, 60, 33, 61, 5, 2, 2
2024/5/24, 71, 27, 42, 3, 1, 2
2024/5/25, 48, 21, 39, 3, 2, 2
2024/5/26, 38, 16, 44, 4, 2, 1
2024/5/27, 30, 15, 41, 3, 2, 
2024/5/28, 35, 21, 38, 4, 2, 2
2024/5/29, 40, 17, 45, 4, 2, 1
2024/5/30, 39, 16, 41, 5, 2, 2
2024/5/31, 36, 18, 48, 3, 2, 2
2024/6/1, 39, 20, 50, 3, 2, 2
2024/6/2, 44, 20, 52, 2, 2, 1
2024/6/3, 43, 22, 44, 4, 2, 2
2024/6/4, 48, 20, 40, 3, 2, 2
2024/6/5, 44, 19, 47, 4, 2, 2
2024/6/6, 47, 19, 44, 4, 3, 2
